CDU_ID,Car or van availability : Total\ Car or van availability - Unit : Households,Car or van availability : Total\ Car or van availability - Unit : Cars or vans,Car or van availability : Sum of all cars or vans - Unit : Cars or vans,avg car per household
19687,678,728,728,1.073746313
19688,681,479,479,0.703377386
19689,640,626,626,0.978125
19690,720,607,607,0.843055556
19691,596,470,470,0.788590604
19692,597,567,567,0.949748744
19693,615,911,911,1.481300813
19694,498,653,653,1.31124498
19695,599,747,747,1.247078464
19696,496,571,571,1.151209677
19697,517,800,800,1.547388781
19698,672,685,685,1.019345238
19699,626,819,819,1.308306709
19700,510,623,623,1.221568627
19701,626,1045,1045,1.669329073
19702,687,934,934,1.359534207
19703,602,841,841,1.397009967
19704,713,792,792,1.110799439
19705,504,794,794,1.575396825
19706,648,846,846,1.305555556
19707,645,842,842,1.305426357
19708,621,847,847,1.363929147
19709,495,746,746,1.507070707
19710,513,752,752,1.46588694
19711,628,720,720,1.146496815
19712,605,814,814,1.345454545
19713,487,688,688,1.412731006
19714,825,719,719,0.871515152
19715,631,808,808,1.280507132
19716,781,783,783,1.002560819
19717,498,846,846,1.698795181
19718,569,901,901,1.583479789
19719,738,659,659,0.89295393
19720,452,657,657,1.453539823
19721,546,430,430,0.787545788
19722,707,470,470,0.664780764
19723,602,453,453,0.752491694
19724,591,529,529,0.895093063
19725,890,883,883,0.992134831
19726,645,588,588,0.911627907
19727,590,353,353,0.598305085
19728,469,492,492,1.049040512
19729,512,347,347,0.677734375
19730,520,397,397,0.763461538
19731,501,477,477,0.952095808
19732,596,581,581,0.974832215
19733,455,489,489,1.074725275
19734,656,515,515,0.785060976
19735,447,468,468,1.046979866
19736,510,824,824,1.615686275
19737,535,791,791,1.478504673
19738,610,476,476,0.780327869
19739,992,626,626,0.631048387
19740,643,390,390,0.606531882
19741,423,394,394,0.93144208
19742,488,464,464,0.950819672
19743,532,733,733,1.377819549
19744,674,672,672,0.997032641
19745,533,448,448,0.840525328
19746,593,514,514,0.866779089
19747,787,376,376,0.477763659
19748,806,709,709,0.879652605
19749,467,491,491,1.051391863
19750,578,538,538,0.930795848
19751,724,505,505,0.697513812
19752,850,412,412,0.484705882
19753,586,547,547,0.933447099
19754,457,478,478,1.04595186
19755,500,497,497,0.994
19756,734,518,518,0.705722071
19757,453,454,454,1.002207506
19758,721,639,639,0.886269071
19759,676,446,446,0.659763314
19760,525,471,471,0.897142857
19761,657,360,360,0.547945205
19762,508,450,450,0.885826772
